id,created_at,content,tags
1,"2024-07-12 04:20:24.090468+00","마농바게트 맛있어요","[""joy""]"
2,"2024-07-12 04:20:30.260295+00",맛있어요,"[""joy""]"
3,"2024-07-12 04:20:37.598328+00","까르보나라 빵 진짜맛있어요","[""joy""]"
4,"2024-07-12 04:20:42.096248+00","마농은 필수입니다","[""joy"", ""trust""]"
5,"2024-07-12 04:20:47.1672+00","빵이 다양하게 있어서 좋아요","[""joy""]"
6,"2024-07-12 04:20:54.484067+00","빵이 달지않고 맛있어요","[""joy""]"
7,"2024-07-12 04:20:58.52593+00","마늘바게트는 안 먹어봤고요
다른것들 먹어봤는대 블루베리 타르트 맛있었어요
에그타르트는 바닥에 쨈같은게 발라져 있어서 느끼하진 않았는대 오리지널 에그타르트 맛을 기대했어서 좀 실망ㅎㅎ","[""sadness"", ""disgust"", ""surprise""]"
8,"2024-07-12 04:21:04.591513+00",굿,"[""joy""]"
9,"2024-07-12 04:21:09.555646+00",좋아요,"[""joy""]"
10,"2024-07-12 04:21:16.061875+00","정말 맛있고 합리적인 가격의 빵들이 가득해요 자주가고 싶어요","[""joy"", ""trust""]"
11,"2024-07-12 04:21:21.429313+00","맛있어요 함덕에 가면 한 번 가보세요","[""joy"", ""trust""]"
12,"2024-07-12 04:21:25.239199+00","마농은 진리","[""joy"", ""trust""]"
13,"2024-07-12 04:21:31.105913+00","손으로 먹으라는거예요  포크달라말했는데 하나도 없네","[""anger"", ""disgust""]"
14,"2024-07-12 04:21:35.873919+00",좋아요,"[""joy""]"
15,"2024-07-12 04:21:41.111331+00","살면서 먹어본 마늘 바게트 중에 가장 맛있었습니다","[""joy"", ""trust""]"
16,"2024-07-12 04:21:47.22313+00","마늘빵 맛있어요","[""joy""]"
17,"2024-07-12 04:21:52.41741+00","마농바게트 이번에 처음 먹어봤는데 너무 맛있어요","[""joy""]"
18,"2024-07-12 04:21:58.188955+00",맛있어요,"[""joy""]"
19,"2024-07-12 04:22:02.293558+00",좋습니다,"[""joy""]"
20,"2024-07-12 04:22:09.207387+00",맛있어요,"[""joy""]"
21,"2024-07-12 04:22:15.089256+00","제주도 올때마다 사갖고 갑니다","[""joy"", ""anticipation""]"
22,"2024-07-12 04:22:20.058113+00",좋아요,"[""joy""]"
23,"2024-07-12 04:22:26.053871+00","빵이 맛있고 종류도 많아요","[""joy"", ""trust""]"
24,"2024-07-12 04:22:31.988085+00","마늘빵보다 다른빵들이 맛있어요","[""surprise"", ""disgust""]"
25,"2024-07-12 04:22:38.975427+00","포장할때 신경써서 해주세요
바쁘다고 빵모양이 흐트러져 ㅉㅉ","[""anger"", ""sadness""]"
26,"2024-07-12 04:22:43.918763+00","음서울에서 충분히 경험할 수 있는맛
특별함은 없늗 ㅎ","[""sadness"", ""disgust""]"
27,"2024-07-12 04:22:49.816536+00","아침일찍
마늘 바게트ᆢ
살살 녹은 극강의 부드러움","[""joy"", ""surprise""]"
28,"2024-07-12 04:22:55.712632+00","유명하다고해서 와봤는데 일찍부터 사람이 많네요","[""surprise"", ""anticipation""]"
29,"2024-07-12 04:23:02.008427+00","마늘바게트 진짜 맛있음
쌀스콘도 왕추천","[""joy"", ""trust"", ""anticipation""]"
30,"2024-07-12 04:23:09.096885+00","샌드위치 상큼 야채맛이  좋아요 치아바타도 맛있어요","[""joy"", ""trust""]"
31,"2024-07-12 04:23:14.78666+00","마늘빵하면 가장 먼저 생각나는 곳이라 작년에 이어서 방문했습니다 역시 맛있네요","[""joy"", ""trust"", ""anticipation""]"
